rima,unigram,lema
XXVI,buena,buen
XXVI,billete,billete
XXVI,banco,banco
XXVI,dorso,dorso
XXVI,escrita,escrito
XXVI,faltará,faltar
XXVI,algún,alguno
XXVI,necio,necio
XXVI,oírlo,oir él
XXVI,haga,hacer
XXVI,cruces,cruz
XXVI,diga,decir
XXVI,mujer,mujer
XXVI,fin,fin
XXVI,siglo,siglo
XXVI,diez,diez
XXVI,nueve,nueve
XXVI,material,material
XXVI,prosaica,prosaico
XXVI,boberías,bobería
XXVI,voces,voz
XXVI,hacen,hacer
XXVI,correr,correr
XXVI,cuatro,cuatro
XXVI,poetas,poeta
XXVI,invierno,invierno
XXVI,embozan,embozar
XXVI,lira,lirar
XXVI,ladridos,ladrido
XXVI,perros,perro
XXVI,luna,luna
XXVI,sabes,saber
XXVI,vida,vida
XXVI,genio,genio
XXVI,contado,contado
XXVI,escribe,escribir
XXVI,oro,oro
XXVI,cualquiera,cualquiera
XXVI,hace,hacer
XXVI,poesía,poesía
XXVII,despierta,despertar
XXVII,tiemblo,temblar
XXVII,mirarte,mirarte
XXVII,dormida,dormido
XXVII,atrevo,atrevir
XXVII,verte,verte
XXVII,alma,alma
XXVII,alma,alma
XXVII,velo,velo
XXVII,duermes,duerm
XXVII,despierta,despertar
XXVII,ríes,rí
XXVII,reír,reír
XXVII,labios,labio
XXVII,inquietos,inquieto
XXVII,parecen,parecer
XXVII,relámpagos,relámpago
XXVII,grana,gran
XXVII,serpean,serpear
XXVII,cielo,cielo
XXVII,nieve,nieve
XXVII,dormida,dormido
XXVII,extremos,extremo
XXVII,boca,bocar
XXVII,pliega,pliega
XXVII,sonrisa,sonrisa
XXVII,leve,leve
XXVII,suave,suave
XXVII,rastro,rastro
XXVII,luminoso,luminoso
XXVII,deja,dejar
XXVII,sol,sol
XXVII,muere,morir
XXVII,duerme,dormir
XXVII,despierta,despertar
XXVII,miras,mira
XXVII,mirar,mirar
XXVII,ojos,ojo
XXVII,húmedos,húmedo
XXVII,resplandecen,resplandecir
XXVII,onda,ondar
XXVII,azul,azul
XXVII,cuya,cuyo
XXVII,cresta,cresta
XXVII,chispeando,chispear
XXVII,sol,sol
XXVII,hiere,herir
XXVII,través,través
XXVII,párpados,párpado
XXVII,dormida,dormido
XXVII,tranquilo,tranquilo
XXVII,fulgor,fulgor
XXVII,vierten,viertar
XXVII,derrama,derramar
XXVII,luz,luz
XXVII,templado,templado
XXVII,rayo,rayo
XXVII,lámpara,lámpar
XXVII,transparente,transparente
XXVII,duerme,dormir
XXVII,despierta,despertar
XXVII,hablas,habla
XXVII,hablar,hablar
XXVII,vibrantes,vibrant
XXVII,palabras,palabra
XXVII,parecen,parecer
XXVII,lluvia,lluvia
XXVII,perlas,perla
XXVII,dorada,dorado
XXVII,copa,copa
XXVII,derrama,derramar
XXVII,torrentes,torrente
XXVII,dormida,dormido
XXVII,murmullo,murmullo
XXVII,aliento,aliento
XXVII,acompasado,acompasado
XXVII,tenue,tenue
XXVII,escucho,escuchar
XXVII,poema,poema
XXVII,alma,alma
XXVII,enamorada,enamorado
XXVII,entiende,entender
XXVII,duerme,dormir
XXVII,corazón,corazón
XXVII,mano,mano
XXVII,puesto,puesto
XXVII,suene,sonar
XXVII,latido,latido
XXVII,noche,noche
XXVII,turbe,turbir
XXVII,calma,calma
XXVII,solemne,solemne
XXVII,balcón,balcón
XXVII,persianas,persiana
XXVII,cerré,cerré
XXVII,resplandor,resplandor
XXVII,enojoso,enojoso
XXVII,aurora,auroro
XXVII,despierte,despierte
XXVII,duerme,dormir
XXVIII,sombra,sombra
XXVIII,oscura,oscuro
XXVIII,perdida,perdido
XXVIII,voz,voz
XXVIII,murmura,murmuro
XXVIII,turbando,turbar
XXVIII,triste,triste
XXVIII,calma,calma
XXVIII,si,si
XXVIII,fondo,fondo
XXVIII,alma,alma
XXVIII,oigo,oír
XXVIII,dulce,dulce
XXVIII,resonar,resonar
XXVIII,dime,dimir
XXVIII,viento,viento
XXVIII,giros,giro
XXVIII,queja,queja
XXVIII,suspiros,suspiro
XXVIII,hablan,hablar
XXVIII,amor,amor
XXVIII,pasar,pasar
XXVIII,sol,sol
XXVIII,ventana,ventana
XXVIII,rojo,rojo
XXVIII,brilla,brillar
XXVIII,mañana,mañana
XXVIII,amor,amor
XXVIII,sombra,sombra
XXVIII,evoca,evocar
XXVIII,si,si
XXVIII,boca,bocar
XXVIII,boca,bocar
XXVIII,sentir,sentir
XXVIII,creo,creer
XXVIII,impresión,impresión
XXVIII,dime,dimir
XXVIII,ciego,ciego
XXVIII,deliro,delirir
XXVIII,beso,beso
XXVIII,suspiro,suspirar
XXVIII,envía,envíar
XXVIII,corazón,corazón
XXVIII,luminoso,luminoso
XXVIII,día,día
XXVIII,alta,alto
XXVIII,noche,noche
XXVIII,sombría,somber
XXVIII,si,si
XXVIII,cuanto,cuanto
XXVIII,rodea,rodear
XXVIII,alma,alma
XXVIII,desea,desear
XXVIII,creo,creer
XXVIII,sentir,sentir
XXVIII,ver,ver
XXVIII,dime,dimir
XXVIII,toco,tocar
XXVIII,respiro,respirar
XXVIII,soñando,soñar
XXVIII,suspiro,suspirar
XXVIII,das,das
XXVIII,aliento,aliento
XXVIII,beber,beber
XXIX,falda,faldar
XXIX,libro,libro
XXIX,abierto,abierto
XXIX,mejilla,mejilla
XXIX,tocaban,tocar
XXIX,rizos,rizo
XXIX,negros,negro
XXIX,veíamos,veíar
XXIX,letras,letra
XXIX,ninguno,ninguno
XXIX,creo,creer
XXIX,mas,mas
XXIX,guardábamos,guardábar
XXIX,entrambos,entrambo
XXIX,hondo,hondo
XXIX,silencio,silencio
XXIX,cuánto,cuánto
XXIX,duró,durar
XXIX,aun,aun
XXIX,entonces,entonces
XXIX,pude,poder
XXIX,saberlo,saber él
XXIX,sólo,sólo
XXIX,oía,oía
XXIX,aliento,aliento
XXIX,apresurado,apresurado
XXIX,escapaba,escapar
XXIX,labio,labio
XXIX,seco,seco
XXIX,sólo,sólo
XXIX,sé,saber
XXIX,volvimos,volver
XXIX,dos,dos
XXIX,tiempo,tiempo
XXIX,ojos,ojo
XXIX,hallaron,hallar
XXIX,sonó,sonar
XXIX,beso,beso
XXIX,creación,creación
XXIX,dante,dante
XXIX,libro,libro
XXIX,infierno,infierno
XXIX,bajamos,bajar
XXIX,ojos,ojo
XXIX,dije,decir
XXIX,trémulo,trémulo
XXIX,comprendes,comprend
XXIX,poema,poema
XXIX,cabe,caber
XXIX,verso,verso
XXIX,respondió,responder
XXIX,encendida,encendido
XXIX,comprendo,comprendo
XXX,asomaba,asomar
XXX,ojos,ojo
XXX,lágrima,lágrimir
XXX,labios,labio
XXX,frase,frase
XXX,perdón,perdón
XXX,habló,hablar
XXX,orgullo,orgullo
XXX,enjugó,enjugar
XXX,llanto,llanto
XXX,frase,frase
XXX,labios,labio
XXX,expiró,expirar
XXX,voy,ir
XXX,camino,camino
XXX,pensar,pensar
XXX,mutuo,mutuo
XXX,amor,amor
XXX,digo,decir
XXX,aún,aún
XXX,callé,callé
XXX,aquél,aquél
XXX,día,día
XXX,dirá,decir
XXX,lloré,lloré
XXXI,pasión,pasión
XXXI,trágico,trágico
XXXI,sainete,saine tú
XXXI,cuya,cuyo
XXXI,absurda,absurdo
XXXI,fábula,fábular
XXXI,cómico,cómico
XXXI,grave,grave
XXXI,confundidos,confundido
XXXI,risas,risa
XXXI,llanto,llanto
XXXI,arrancan,arrancir
XXXI,peor,peor
XXXI,aquella,aquel
XXXI,historia,historia
XXXI,fin,fin
XXXI,jornada,jornada
XXXI,tocaron,tocar
XXXI,lágrimas,lágrima
XXXI,risas,risa
XXXI,sólo,sólo
XXXI,lágrimas,lágrima
XXXII,pasaba,pasar
XXXII,arrolladora,arrolladora
XXXII,hermosura,hermosura
XXXII,paso,paso
XXXII,dejé,dejar
XXXII,aun,aun
XXXII,mirarla,mirar él
XXXII,volví,volví
XXXII,obstante,obstante
XXXII,oído,oer
XXXII,murmuró,murmurar
XXXII,quién,quién
XXXII,reunió,reunir
XXXII,tarde,tarde
XXXII,mañana,mañana
XXXII,ignoro,ignorar
XXXII,sólo,sólo
XXXII,sé,saber
XXXII,breve,breve
XXXII,noche,noche
XXXII,verano,verano
XXXII,unieron,unir
XXXII,crepúsculos,crepúsculo
XXXIII,cuestión,cuestión
XXXIII,palabras,palabra
XXXIII,obstante,obstante
XXXIII,jamás,jamás
XXXIII,después,después
XXXIII,pasado,pasado
XXXIII,convendremos,convendrer
XXXIII,quién,quién
XXXIII,culpa,culpa
XXXIII,lástima,lástima
XXXIII,amor,amor
XXXIII,diccionario,diccionario
XXXIII,dónde,dónde
XXXIII,hallar,hallar
XXXIII,orgullo,orgullo
XXXIII,simplemente,simplemente
XXXIII,orgullo,orgullo
XXXIII,dignidad,dignidad
XXXIV,cruza,cruzar
XXXIV,callada,callado
XXXIV,movimientos,movimiento
XXXIV,silenciosa,silencioso
XXXIV,armonía,armonir
XXXIV,suenan,sonar
XXXIV,pasos,paso
XXXIV,sonar,sonar
XXXIV,recuerdan,recordar
XXXIV,himno,himno
XXXIV,alado,alado
XXXIV,cadencia,cadencia
XXXIV,rítmica,rítmico
XXXIV,entreabre,entreabrir
XXXIV,aquellos,aquel
XXXIV,ojos,ojo
XXXIV,tan,tanto
XXXIV,claros,claro
XXXIV,día,día
XXXIV,tierra,tierra
XXXIV,cielo,cielo
XXXIV,abarcan,abarcar
XXXIV,arden,arder
XXXIV,nueva,nuevo
XXXIV,luz,luz
XXXIV,pupilas,pupila
XXXIV,ríe,ríar
XXXIV,carcajada,carcajado
XXXIV,notas,nota
XXXIV,agua,agua
XXXIV,fugitiva,fugitivo
XXXIV,llora,llorar
XXXIV,cada,cada
XXXIV,lágrima,lágrimir
XXXIV,poema,poema
XXXIV,ternura,ternura
XXXIV,infinita,infinitar
XXXIV,luz,luz
XXXIV,perfume,perfumir
XXXIV,color,color
XXXIV,línea,línea
XXXIV,forma,forma
XXXIV,engendradora,engendradoro
XXXIV,deseos,deseo
XXXIV,expresión,expresión
XXXIV,fuente,fuente
XXXIV,eterna,eterno
XXXIV,poesía,poesía
XXXIV,estúpida,estúpido
XXXIV,bah,bah
XXXIV,mientras,mientras
XXXIV,callando,callar
XXXIV,guarde,guardar
XXXIV,obscuro,obscuro
XXXIV,enigma,enigma
XXXIV,siempre,siempre
XXXIV,valdrá,valer
XXXIV,ver,ver
XXXIV,calla,callar
XXXIV,cualquiera,cualquiera
XXXIV,diga,decir
XXXV,admiró,admirar
XXXV,olvido,olvir
XXXV,aunque,aunque
XXXV,día,día
XXXV,admiró,admirar
XXXV,cariño,cariño
XXXV,vale,valer
XXXV,pudiste,pudistar
XXXV,sospechar,sospechar
XXXVI,si,si
XXXVI,agravios,agravio
XXXVI,libro,libro
XXXVI,escribiese,escribir
XXXVI,historia,historia
XXXVI,borrase,borrase
XXXVI,almas,alma
XXXVI,cuanto,cuanto
XXXVI,borrase,borrase
XXXVI,hojas,hoja
XXXVI,quiero,querer
XXXVI,aún,aún
XXXVI,dejó,dejar
XXXVI,pecho,pecho
XXXVI,amor,amor
XXXVI,huellas,huella
XXXVI,tan,tanto
XXXVI,hondas,hondo
XXXVI,sólo,sólo
XXXVI,borrases,borrás
XXXVI,borraba,borrar
XXXVI,todas,todo
XXXVII,moriré,moriré
XXXVII,escondido,escondido
XXXVII,entrañas,entraña
XXXVII,hierro,hierro
XXXVII,llevo,llevar
XXXVII,abrió,abrir
XXXVII,mano,mano
XXXVII,ancha,ancho
XXXVII,herida,herido
XXXVII,mortal,mortal
XXXVII,moriré,moriré
XXXVII,espíritu,espíritu
XXXVII,empeño,empeño
XXXVII,tenaz,tenaz
XXXVII,sentándose,sentar él
XXXVII,puertas,puerta
XXXVII,muerte,muerte
XXXVII,allí,allí
XXXVII,esperará,esperar
XXXVII,horas,hora
XXXVII,días,día
XXXVII,días,día
XXXVII,años,año
XXXVII,volarán,volar
XXXVII,aquella,aquel
XXXVII,puerta,puerta
XXXVII,llamarás,llamarás
XXXVII,cabo,cabo
XXXVII,quién,quién
XXXVII,deja,dejar
XXXVII,llamar,llamar
XXXVII,entonces,entonces
XXXVII,culpa,culpa
XXXVII,despojos,despojo
XXXVII,tierra,tierra
XXXVII,guardará,guardar
XXXVII,lavándote,lavándote
XXXVII,ondas,onda
XXXVII,muerte,muerte
XXXVII,jordán,jordán
XXXVII,allí,allí
XXXVII,murmullo,murmullo
XXXVII,vida,vida
XXXVII,temblando,temblar
XXXVII,morir,morir
XXXVII,va,ir
XXXVII,ola,ola
XXXVII,playa,playa
XXXVII,viene,venir
XXXVII,silenciosa,silencioso
XXXVII,expirar,expirar
XXXVII,allí,allí
XXXVII,sepulcro,sepulcro
XXXVII,cierra,cerrar
XXXVII,abre,abrir
XXXVII,eternidad,eternidad
XXXVII,dos,dos
XXXVII,callado,callado
XXXVII,hablar,hablar
XXXVIII,suspiros,suspiro
XXXVIII,aire,aire
XXXVIII,van,ir
XXXVIII,aire,aire
XXXVIII,lágrimas,lágrima
XXXVIII,agua,agua
XXXVIII,van,ir
XXXVIII,mar,mar
XXXVIII,dime,dimir
XXXVIII,mujer,mujer
XXXVIII,amor,amor
XXXVIII,olvida,olvidar
XXXVIII,sabes,saber
XXXVIII,adónde,adónde
XXXVIII,va,ir
XXXIX,salvaje,salvaje
XXXIX,torpe,torpe
XXXIX,mano,mano
XXXIX,hace,hacer
XXXIX,tronco,tronco
XXXIX,capricho,capricho
XXXIX,dios,dios
XXXIX,luego,luego
XXXIX,obra,obra
XXXIX,arrodilla,arrodilla
XXXIX,hicimos,hicimos
XXXIX,dimos,dar
XXXIX,formas,forma
XXXIX,reales,real
XXXIX,fantasma,fantasma
XXXIX,mente,mente
XXXIX,ridícula,ridículo
XXXIX,invención,invención
XXXIX,hecho,hecho
XXXIX,ídolo,ídolo
XXXIX,sacrificamos,sacrificar
XXXIX,altar,altar
XXXIX,amor,amor
XL,mano,mano
XL,manos,mano
XL,ojos,ojo
XL,ojos,ojo
XL,amorosa,amoroso
XL,cabeza,cabeza
XL,apoyada,apoyado
XL,hombro,hombro
XL,dios,dios
XL,sabe,saber
XL,cuántas,cuánta
XL,veces,vez
XL,paso,paso
XL,perezoso,perezoso
XL,vagado,vagar
XL,juntos,junto
XL,bajo,bajo
XL,altos,alto
XL,olmos,olmos
XL,casa,casa
XL,prestan,prestar
XL,misterio,misterio
XL,sombra,sombra
XL,pórtico,pórtico
XL,ayer,ayer
XL,año,año
XL,apenas,apenas
XL,pasando,pasar
XL,soplo,soplo
XL,exquisita,exquisitar
XL,gracia,gracia
XL,admirable,admirable
XL,aplomo,aplomo
XL,dijo,decir
XL,presentarnos,presentarno
XL,amigo,amigo
XL,oficioso,oficioso
XL,creo,creer
XL,alguna,alguno
XL,parte,parte
XL,visto,ver
XL,usted,usted
XL,ah,ah
XL,bobos,bobo
XL,salones,salón
XL,comadres,comadre
XL,buen,buen
XL,tono,tono
XL,andáis,andáis
XL,allí,allí
XL,caza,cazar
XL,galantes,galant
XL,embrollos,embrollo
XL,historía,histoer
XL,perdido,perdido
XL,manjar,manjar
XL,tan,tanto
XL,sabroso,sabroso
XL,ser,ser
XL,devorado,devorar
XL,soto,soto
XL,voce,vocir
XL,corro,corro
XL,detrás,detrás
XL,abanico,abanico
XL,plumas,pluma
XL,oro,oro
XL,discreta,discreto
XL,casta,casta
XL,luna,luna
XL,copudos,copudo
XL,altos,alto
XL,olmos,olmos
XL,paredes,pared
XL,casa,casa
XL,umbrales,umbral
XL,pórtico,pórtico
XL,callad,callad
XL,secreto,secreto
XL,salga,salir
XL,callad,callad
XL,parte,parte
XL,vivido,vivido
XL,máscara,máscara
XL,semejante,semejante
XL,rostro,rostro
XLI,huracán,huracán
XLI,alta,alto
XLI,torre,torrir
XLI,desafía,desafíar
XLI,poder,poder
XLI,estrellarte,estrellartar
XLI,abatirme,abatir yo
XLI,pudo,poder
XLI,ser,ser
XLI,océano,océano
XLI,enhiesta,enhiesto
XLI,roca,rocar
XLI,firme,firme
XLI,aguarda,aguarda
XLI,vaivén,vaiver
XLI,romperte,romper tú
XLI,arrancarme,arrancar yo
XLI,pudo,poder
XLI,ser,ser
XLI,hermosa,hermoso
XLI,altivo,altivo
XLI,acostumbrados,acostumbrado
XLI,arrollar,arrollar
XLI,ceder,ceder
XLI,senda,senda
XLI,estrecha,estrecho
XLI,inevitable,inevitable
XLI,choque,choque
XLI,pudo,poder
XLI,ser,ser
XLII,contaron,contar
XLII,sentí,sentir
XLII,frío,frío
XLII,hoja,hoja
XLII,acero,acero
XLII,entrañas,entraña
XLII,apoyé,apoyé
XLII,muro,muro
XLII,instante,instante
XLII,conciencia,conciencia
XLII,perdí,perder
XLII,cayó,caer
XLII,espíritu,espíritu
XLII,noche,noche
XLII,ira,ira
XLII,piedad,piedad
XLII,anegó,anegar
XLII,alma,alma
XLII,revelo,revelo
XLII,llora,llorar
XLII,comprendí,comprendí
XLII,vez,vez
XLII,mata,mata
XLII,pasó,pasar
XLII,nube,nube
XLII,dolor,dolor
XLII,pena,pena
XLII,logré,logré
XLII,balbucear,balbucear
XLII,breves,breve
XLII,palabras,palabra
XLII,quién,quién
XLII,dio,dar
XLII,noticia,noticia
XLII,fiel,fiel
XLII,amigo,amigo
XLII,hacia,hacia
XLII,gran,gran
XLII,favor,favor
XLII,di,dar
XLII,gracias,gracias
XLIII,dejé,dejar
XLIII,luz,luz
XLIII,lado,lado
XLIII,borde,bordar
XLIII,revuelta,revuelta
XLIII,cama,cama
XLIII,senté,sentar
XLIII,mudo,mudo
XLIII,sombrío,sombrío
XLIII,pupila,pupila
XLIII,inmóvil,inmóvil
XLIII,clavada,clavado
XLIII,pared,pared
XLIII,tiempo,tiempo
XLIII,así,así
XLIII,sé,saber
XLIII,dejarme,dejar yo
XLIII,embriaguez,embriaguez
XLIII,horrible,horrible
XLIII,dolor,dolor
XLIII,expiraba,expirar
XLIII,luz,luz
XLIII,balcones,balcón
XLIII,reía,reir
XLIII,sol,sol
XLIII,sé,saber
XLIII,tampoco,tampoco
XLIII,tan,tanto
XLIII,terribles,terrible
XLIII,horas,hora
XLIII,pensaba,pensar
XLIII,pasó,pasar
XLIII,solo,solo
XLIII,recuerdo,recordar
XLIII,lloré,lloré
XLIII,maldije,maldije
XLIII,aquella,aquel
XLIII,noche,noche
XLIII,envejecí,envejecí
XLIV,libro,libro
XLIV,abierto,abierto
XLIV,leo,leo
XLIV,pupilas,pupila
XLIV,fondo,fondo
XLIV,fingir,fingir
XLIV,labio,labio
XLIV,risas,risa
XLIV,desmienten,desmentir
XLIV,ojos,ojo
XLIV,llora,llorar
XLIV,avergüences,avergüenz
XLIV,confesar,confesar
XLIV,quisiste,quisiste
XLIV,llora,llorar
XLIV,nadie,nadie
XLIV,mira,mirar
XLIV,ves,ver
XLIV,hombre,hombre
XLIV,lloro,lloro
XLV,clave,clave
XLV,arco,arco
XLV,ruinoso,ruinoso
XLV,cuyas,cuyo
XLV,piedras,piedra
XLV,tiempo,tiempo
XLV,enrojeció,enrojeceír
XLV,obra,obra
XLV,cincel,cincel
XLV,rudo,rudo
XLV,campeaba,campear
XLV,gótico,gótico
XLV,blasón,blasón
XLV,penacho,penacho
XLV,yelmo,yelmo
XLV,granito,granitir
XLV,yedra,yedra
XLV,colgaba,colgar
XLV,derredor,derredor
XLV,daba,dar
XLV,sombra,sombra
XLV,escudo,escudo
XLV,mano,mano
XLV,corazón,corazón
XLV,contemplarle,contemplar él
XLV,desierta,desierta
XLV,plaza,plaza
XLV,paramos,parar
XLV,dos,dos
XLV,ése,ese
XLV,dijo,decir
XLV,cabal,cabal
XLV,emblema,emblema
XLV,constante,constante
XLV,amor,amor
XLV,ay,ay
XLV,verdad,verdad
XLV,dijo,decir
XLV,entonces,entonces
XLV,verdad,verdad
XLV,corazón,corazón
XLV,llevará,llevar
XLV,mano,mano
XLV,cualquier,cualquiera
XLV,parte,parte
XLV,pecho,pecho
XLVI,aliento,aliento
XLVI,aliento,aliento
XLVI,flores,flor
XLVI,voz,voz
XLVI,cisnes,cisn
XLVI,armonía,armonir
XLVI,mirada,mirada
XLVI,esplendor,esplendor
XLVI,día,día
XLVI,color,color
XLVI,rosa,rosa
XLVI,color,color
XLVI,prestas,presta
XLVI,nueva,nuevo
XLVI,vida,vida
XLVI,esperanza,esperanza
XLVI,corazón,corazón
XLVI,amor,amor
XLVI,muerto,muerto
XLVI,creces,creces
XLVI,vida,vida
XLVI,desierto,desierto
XLVI,crece,crecer
XLVI,páramo,páramo
XLVI,flor,flor
XLVII,asomado,asomado
XLVII,profundas,profundo
XLVII,simas,sima
XLVII,tierra,tierra
XLVII,cielo,cielo
XLVII,visto,ver
XLVII,fin,fin
XLVII,ojos,ojo
XLVII,pensamiento,pensamiento
XLVII,mas,mas
XLVII,ay,ay
XLVII,corazón,corazón
XLVII,llegué,llegar
XLVII,abismo,abismo
XLVII,incliné,incliné
XLVII,verlo,ver él
XLVII,alma,alma
XLVII,ojos,ojo
XLVII,turbaron,turbar
XLVII,tan,tanto
XLVII,hondo,hondo
XLVII,tan,tanto
XLVII,negro,negro
XLVIII,alguna,alguno
XLVIII,vez,vez
XLVIII,encuentro,encuentro
XLVIII,mundo,mundo
XLVIII,pasa,pasar
XLVIII,junto,junto
XLVIII,pasa,pasar
XLVIII,sonriéndose,sonreir él
XLVIII,digo,decir
XLVIII,cómo,cómo
XLVIII,puede,poder
XLVIII,reír,reír
XLVIII,luego,luego
XLVIII,asoma,asoma
XLVIII,labio,labio
XLVIII,sonrisa,sonrisa
XLVIII,máscara,máscara
XLVIII,dolor,dolor
XLVIII,entonces,entonces
XLVIII,pienso,pensar
XLVIII,acaso,acaso
XLVIII,ríe,ríar
XLVIII,río,río
XLIX,decís,decís
XLIX,sé,saber
XLIX,mudable,mudable
XLIX,altanera,altanera
XLIX,vana,vano
XLIX,caprichosa,caprichoso
XLIX,sentimiento,sentimiento
XLIX,alma,alma
XLIX,brotará,brotar
XLIX,agua,agua
XLIX,estéril,estéril
XLIX,roca,rocar
XLIX,sé,saber
XLIX,corazón,corazón
XLIX,nido,nido
XLIX,sierpes,sierp
XLIX,fibra,fibrar
XLIX,amor,amor
XLIX,responda,respondar
XLIX,estatua,estatua
XLIX,inanimada,inanimado
XLIX,tan,tanto
XLIX,hermosa,hermoso
L,vida,vida
L,resta,resta
L,diera,dar
L,gusto,gusto
L,mejores,mejor
L,años,año
L,saber,saber
L,hablado,hablar
L,vida,vida
L,mortal,mortal
L,eterna,eterno
L,toque,tocar
L,si,si
L,toca,tocar
L,saber,saber
L,solas,solo
L,pensado,pensado
LI,olas,ola
LI,gigantes,gigante
LI,rompéis,rompéi
LI,bramando,bramar
LI,playas,playa
LI,desiertas,desierta
LI,remotas,remota
LI,envuelto,envuelto
LI,sábana,sábán
LI,espumas,espuma
LI,llevadme,llevadme
LI,ráfagas,ráfaga
LI,huracán,huracán
LI,arrebatáis,arrebatáis
LI,alto,alto
LI,bosque,bosque
LI,marchitas,marchita
LI,hojas,hoja
LI,arrastrado,arrastrado
LI,ciego,ciego
LI,torbellino,torbellino
LI,llevadme,llevadme
LI,nubes,nube
LI,tempestad,tempestad
LI,rompe,romper
LI,rayo,rayo
LI,fuego,fuego
LI,encienden,encender
LI,sangrientas,sangrienta
LI,orlas,orla
LI,arrebatado,arrebatado
LI,niebla,niebla
LI,oscura,oscuro
LI,llevadme,llevadme
LI,llevadme,llevadme
LI,piedad,piedad
LI,vértigo,vértigo
LI,razón,razón
LI,arranque,arranque
LI,memoria,memoria
LI,piedad,piedad
LI,miedo,miedo
LI,quedarme,quedar yo
LI,dolor,dolor
LI,solas,solo
LII,volverán,volver
LII,oscuras,oscura
LII,golondrinas,golondrina
LII,balcón,balcón
LII,nidos,nido
LII,colgar,colgar
LII,vez,vez
LII,ala,ala
LII,cristales,cristal
LII,jugando,jugar
LII,llamarán,llamar
LII,aquellas,aquel
LII,vuelo,vuelo
LII,refrenaban,refrenar
LII,hermosura,hermosura
LII,dicha,dicho
LII,contemplar,contemplar
LII,aquellas,aquel
LII,aprendieron,aprender
LII,nombres,nombre
LII,ésas,ésas
LII,volverán,volver
LII,volverán,volver
LII,tupidas,tupida
LII,madreselvas,madreselva
LII,jardín,jardín
LII,tapias,tapia
LII,escalar,escalar
LII,vez,vez
LII,tarde,tarde
LII,aún,aún
LII,hermosas,hermosa
LII,flores,flor
LII,abrirán,abrir
LII,aquellas,aquel
LII,cuajadas,cuajada
LII,rocío,rocío
LII,cuyas,cuyo
LII,gotas,gota
LII,mirábamos,mirábar
LII,temblar,temblar
LII,caer,caer
LII,lágrimas,lágrima
LII,día,día
LII,ésas,ésas
LII,volverán,volver
LII,volverán,volver
LII,amor,amor
LII,oídos,oído
LII,palabras,palabra
LII,ardientes,ardient
LII,sonar,sonar
LII,corazón,corazón
LII,profundo,profundo
LII,sueño,sueño
LII,tal,tal
LII,vez,vez
LII,despertará,despertar
LII,mudo,mudo
LII,absorto,absorto
LII,rodillas,rodilla
LII,adora,adorar
LII,dios,dios
LII,altar,altar
LII,querido,querido
LII,desengáñate,desengáñate
LII,así,así
LII,querrán,querer
LIII,volvemos,volver
LIII,fugaces,fugaz
LIII,horas,hora
LIII,pasado,pasado
LIII,evocar,evocar
LIII,temblando,temblar
LIII,brilla,brillar
LIII,pestañas,pestaña
LIII,negras,negra
LIII,lágrima,lágrimir
LIII,pronta,prontar
LIII,resbalar,resbalar
LIII,fin,fin
LIII,resbala,resbala
LIII,cae,caer
LIII,gota,gota
LIII,rocío,rocío
LIII,pensar,pensar
LIII,hoy,hoy
LIII,ayer,ayer
LIII,hoy,hoy
LIII,mañana,mañana
LIII,volveremos,volver
LIII,dos,dos
LIII,suspirar,suspirar
LIV,discorde,discordar
LIV,estruendo,estruendo
LIV,orgía,orgía
LIV,acarició,acariciar
LIV,oído,oer
LIV,nota,nota
LIV,lejana,lejano
LIV,música,música
LIV,eco,eco
LIV,suspiro,suspirar
LIV,eco,eco
LIV,suspiro,suspirar
LIV,conozco,conocer
LIV,formado,formado
LIV,aliento,aliento
LIV,bebido,bebido
LIV,perfume,perfumir
LIV,flor,flor
LIV,oculta,ocultar
LIV,crece,crecer
LIV,claustro,claustro
LIV,sombrío,sombrío
LIV,adorada,adorado
LIV,día,día
LIV,cariñosa,cariñoso
LIV,piensas,piensa
LIV,dijo,decir
LIV,lloras,lloras
LIV,alegre,alegre
LIV,tristeza,tristeza
LIV,triste,triste
LIV,vino,venir
LV,hoy,hoy
LV,ayer,ayer
LV,mañana,mañana
LV,hoy,hoy
LV,siempre,siempre
LV,igual,igual
LV,cielo,cielo
LV,gris,gris
LV,horizonte,horizonte
LV,eterno,eterno
LV,andar,andar
LV,andar,andar
LV,moviéndose,mover él
LV,compás,compás
LV,estúpida,estúpido
LV,máquina,máquina
LV,corazón,corazón
LV,torpe,torpe
LV,inteligencia,inteligencia
LV,cerebro,cerebro
LV,dormida,dormido
LV,rincón,rincón
LV,alma,alma
LV,ambiciona,ambicionar
LV,paraíso,paraíso
LV,buscándole,buscándolar
LV,fe,fe
LV,fatiga,fatiga
LV,objeto,objeto
LV,ola,ola
LV,rueda,rodar
LV,ignorando,ignorar
LV,voz,voz
LV,incesante,incesante
LV,mismo,mismo
LV,tono,tono
LV,canta,cantar
LV,mismo,mismo
LV,cantar,cantar
LV,gota,gota
LV,agua,agua
LV,monótona,monótonar
LV,cae,caer
LV,cae,caer
LV,cesar,cesar
LV,así,así
LV,van,ir
LV,deslizándose,deslizar él
LV,días,día
LV,pos,pos
LV,hoy,hoy
LV,mismo,mismo
LV,ayer,ayer
LV,goce,gocir
LV,dolor,dolor
LV,ay,ay
LV,veces,vez
LV,acuerdo,acuerdo
LV,suspirando,suspirar
