rima,bigram
LXXV,roto breve
LXXV,breve hora
LXXV,hora habitar
LXXV,mundo silencioso
LXXV,gozo semejante
LXXV,saber si
LXXV,visión vivir
LXXV,ir dentro
LXXV,mucho gente
LXXVI,imponente nave.del
LXXVI,nave.del templo
LXXVI,templo bizantino
LXXVI,bizantino ver
LXXVI,gótico tumbo
LXXVI,indeciso luz
LXXVI,pintado vidrio
LXXVI,mujer hermoso
LXXVI,hermoso reposar
LXXVI,cincel prodigio
LXXVI,cuerpo abandonado
LXXVI,dulce peso
LXXVI,peso hundido
LXXVI,blando pluma
LXXVI,sonrisa último
LXXVI,resplandor divino
LXXVI,divino guardar
LXXVI,cielo guardar
LXXVI,rayo fugitivo
LXXVI,piedra sentado
LXXVI,filo dos
LXXVI,dos ángel
LXXVI,labio imponer
LXXVI,imponer silencio
LXXVI,parecer muerto
LXXVI,arco macizo
LXXVI,macizo parecer
LXXVI,parecer dormir
LXXVI,sueño ver
LXXVI,ángulo sombrío
LXXVI,callado paso
LXXVI,llegar junto
LXXVI,aquel resplandor
LXXVI,resplandor tibio
LXXVI,tibio aquel
LXXVI,aquel lecho
LXXVI,ofrecer próximo
LXXVI,lugar vacío
LXXVI,alma avivar
LXXVI,siglo cansado
LXXVI,luchar vivo
LXXVI,vivir alguno
LXXVI,alguno vez
LXXVI,aquel rincón
LXXVI,rincón oscuro
LXXVI,aquel muda
LXXVI,pálido mujer
LXXVI,decir oh
LXXVI,amor tanto
LXXVI,tanto callado
LXXVI,sepulcrir tanto
LXXVI,tanto tranquilo
LXXVII,sueño febril
LXXVII,humo ojalá
LXXVIII,poder nublar él
LXXVIII,sol eternamente
LXXVIII,eternamente poder
LXXVIII,poder secar él
LXXVIII,mar poder
LXXVIII,poder romper él
LXXVIII,débil cristal
LXXVIII,suceder poder
LXXVIII,muerte cubrir yo
LXXVIII,fúnebre crespón
LXXVIII,poder apagar él
LXXIX,erial flor
LXXIX,camino fatal
LXXIX,fatal alguien
LXXIX,alguien ir
LXXIX,ir sembrar
LXXX,siglo remoto
LXXX,vencedor divino
LXXX,muerte rogadlir
LXXX,rasgastei inspirado
LXXX,velo misterioso
LXXX,tiniebla rogadlir
LXXX,alma cándido
LXXX,cándido santo
LXXX,santo inocente
LXXX,lado rogadlir
LXXX,cimiento poderoso
LXXX,verdad depositario
LXXX,depositario rogadle
LXXX,sangre rojo
LXXX,dar fortaleza
LXXX,combate rogadlir
LXXX,vírgén semejante
LXXX,venado vestir
LXXX,vida hermosura
LXXX,hermosura rogadlir
LXXX,combate pedisteis
LXXX,pedisteis paz
LXXX,claustro silencioso
LXXX,tormenta rogadlir
LXXX,doctor cuyo
LXXX,cuyo pluma
LXXX,saber rico
LXXX,rico tesoro
LXXX,ciencia inextinguible
LXXX,inextinguible rogadle
LXXX,cristo santa
LXXXI,mover hacer
LXXXI,hacer ruido
LXXXII,fingir realidad
LXXXII,sombra vano
LXXXII,vano delante
LXXXII,desear ir
LXXXII,fénix renacer
LXXXIII,cuerpo ninguno
LXXXIII,dos venir
LXXXIII,mundo rodar
LXXXIII,rodar si
LXXXIII,si mañana
LXXXIII,mañana rodar
LXXXIII,veneno envenenar
LXXXIII,acusarme poder
LXXXIII,poder dar
LXXXIII,dar mas
LXXXIV,presta nuevo
LXXXIV,nuevo vida
LXXXV,ojo gris
LXXXV,claro voz
LXXXV,pecho hacer
LXXXV,pecho asilo
LXXXV,des juventud
LXXXV,juventud vido
LXXXV,vida calor
LXXXV,calor tres
LXXXV,tres cosa
LXXXV,poder dar él
LXXXV,dar él hacer
LXXXV,hacertir gozar
LXXXV,sienta palpitar
LXXXV,vida hacer
LXXXV,poder poner
LXXXV,alma sueño
LXXXV,sueño roto
LXXXV,roto risa
LXXXV,risa lágrima
LXXXV,lágrima hacer
LXXXVI,flor tronchada
LXXXVI,tronchada marchita
LXXXVI,marchita hoja
LXXXVI,hoja arrastrar
LXXXVI,espacio triste
LXXXVI,triste gemidos.repite
LXXXVI,pensamiento gemido
LXXXVI,gemido trist
LXXXVI,trist marchito
LXXXVI,marchita gala
LXXXVII,invierno negro
LXXXVIII,gloria dónde
LXXXVIII,voz misterioso
LXXXVIII,misteriosa contestóme
LXXXVIII,marcar halléla
LXXXVIII,aquel instante
LXXXVIII,humo formado
LXXXVIII,formado denso
LXXXVIII,denso velo
LXXXVIII,azulado esfera
LXXXIX,negro fantasma
LXXXIX,fantasma nube
LXXXIX,nube sombría
LXXXIX,sombría huir
LXXXIX,luz divino
LXXXIX,luz santo
LXXXIX,santa niña
LXXXIX,negro ojo
LXXXIX,fe gigante
LXXXIX,desdén lucha
LXXXIX,si grande
LXXXIX,martirio mayor
LXXXIX,si aún
LXXXIX,aún muestra
LXXXIX,muestra esquivo
LXXXIX,esquivo alma
LXXXIX,nievir si
LXXXIX,si aún
LXXXIX,estrellar tímido
XC,dulce brisa
XC,brisar lágrima
XC,lagrima  ardiente
XC,ardiente fresco
XC,fresco sonrisa
XC,sonrisa flor
XC,flor peregrín
XC,peregrín rama
XC,rama tronchado
XC,vibra flecho
XC,flecha acerado
XC,mil perfume
XC,perfume suave
XC,suave vapor
XC,fragancio fascinadora
XC,fascinadora trastorno
XC,aroma doquier
XC,doquier prodigo
XC,horrible dolor
XC,dolor mitigo
XC,grato dulce
XC,dulce tierno
XC,tierno delirio
XC,delirio cambio
XC,duro crüel
XC,crüel martirio
XC,martirio ah
XC,eslabón navego
XC,mar ir
XC,viento alejo
XC,pena reparto
XC,faz serén
XC,serena poder
XC,poder terrible
XC,antojo brota
XC,brota sonrisa
XC,brota enojo
XC,enojo poder
XC,alma helado
XC,helado si
XC,si airado
XC,airado vibro
XC,vibro flecho
XC,flecha acerado
XC,acerar dar
XC,dulce sonrisa
XC,hermosa coloro
XC,rosas humedecer
XC,mirada hacer
XC,hacer prometer
XC,prometer dicho
XC,hacer amable
XC,reposo grato
XC,grato halagüeño
XC,dulce sueño
XC,poderío rendir
XC,rendir homenaje
XC,corona dar
XC,dar vasallaje
XC,amor rey
XC,mundo niña
XC,niña tirán
XC,tirán ámame
XCI,voz apagado
XCI,inmenso tristeza
XCI,trágico nota
XCI,muerto arrancar
XCI,lirar rota
XCI,nievir estrechar
XCI,aire vagar
XCI,estallar misterioso
XCI,alcobar pues
XCI,brazo miedoso
XCI,boca pegado
XCII,frente caluroso
XCII,frío cristal
XCII,oscuro noche
XCII,sombra misterioso
XCII,vidriera lucir
XCII,lucir iluminado
XCII,iluminado dejar
XCII,visto penetrar
XCII,puro santuario
XCII,estancia pálido
XCII,blonda cabellero
XCII,cabellera destrenzado
XCII,destrenzado acariciar
XCII,sedosa onda
XCII,ver él tanto
XCII,tanto hermoso
XCII,turbar mirábase
XCII,espejo dulcemente
XCII,dulcemente sonreir
XCII,bello imagen
XCII,imagen lánguido
XCII,muda lisonja
XCII,beso dulcísimo
XCII,dulcísimo pagar
XCII,pagar mas
XCII,visión puro
XCII,pura desvanecióse
XCII,sombra vano
XCII,dormido quedé
XCII,quedar dar yo
XCII,dándome ce él
XCII,boca acariciar
XCIII,si copia
XCIII,río cercano
XCIII,puro corriente
XCIII,amor encendido
XCIII,pecho buscado
XCIII,buscado morado
XCIII,morado envío
XCIII,ardiente mirado
XCIII,blanca divino
XCIII,iluminar si
XCIII,amor animado
XCIII,animado vacila
XCIII,dueño amado
XCIII,visto lazo
XCIII,amor anhelante
XCIII,alfombrar florido
XCIII,viento soñar
XCIII,soñar tú
XCIII,tú si
XCIII,lecho escucha
XCIII,escucha acaso
XCIII,acaso celestar
XCIII,celeste armonir
XCIII,cándido pecho
XCIII,cielo tranquilo
XCIII,férvido canto
XCIII,aires cruzar
XCIII,cruzar ligero
XCIII,ignorado movible
XCIII,movible sendero
XCIII,sendero ansioso
XCIII,calma sediento
XCIII,amor penetrar
XCIV,luna quién
XCIV,brisar quién
XCIV,sol quién
XCIV,hora quién
XCIV,oración quién
XCIV,solitaria manda
XCIV,dios quién
XCIV,luna quién
XCIV,brisar quién
XCV,perdido nauto
XCV,pedir él amor
XCV,amor cansancio
XCV,sentido hielo
XCV,esperanza ayer
XCV,ayer poblar
XCVI,rostro mirar
XCVI,soler si
XCVI,allí venir
XCVII,intervalo desprendida
XCVII,desprendida sirena
XCVII,sirena adormecido
XCVII,blanca mano
XCVII,oculto mansión
XCVII,cada nota
XCVII,nota responder
